Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Autoimmune Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Local disease	1
IL1B	ASSOCIATED_WITH	Infection	1
Interleukin-1 beta|IL1B	AFFECTS	Endometriosis, site unspecified	1
Interleukin-1 beta|IL1B	DISRUPTS	Hyperhomocysteinemia	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis, Psoriatic	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	HIV Infections	2
IL1B gene|IL1B	ASSOCIATED_WITH	Acute coronary syndrome	1
IL1B	AUGMENTS	Obesity	1
Interleukin-1 beta|IL1B	AFFECTS	destruction; bone	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Carpal Tunnel Syndrome	1
IL1B gene|IL1B	PREDISPOSES	Gastritis	1
Interleukin-1 beta|IL1B	CAUSES	Rheumatoid Arthritis	1
Interleukin-1 beta|IL1B	PREDISPOSES	Tuberculosis, Pulmonary	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Inflammatory Bowel Diseases	3
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Colitis	2
IL1B	CAUSES	Streptococcal arthritis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Primary biliary cirrhosis	1
Interleukin-1 beta|IL1B	CAUSES	Inflammatory Bowel Diseases	1
IL1B	NEG_AFFECTS	Diabetic Retinopathy	1
IL1B	AUGMENTS	Rheumatoid Arthritis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontitis	7
IL1B	ASSOCIATED_WITH	Chronic Obstructive Airway Disease	1
Interleukin-1 beta|IL1B	NEG_CAUSES	Inflammatory disorder	1
IL1B	AUGMENTS	Airway Obstruction	1
IL1B gene|IL1B	PREDISPOSES	Inflammatory disorder	1
Interleukin-1 beta|IL1B	CAUSES	Arthritis	3
IL1B	ASSOCIATED_WITH	Mastocytosis, Systemic	1
Interleukin-1 beta|IL1B	PREDISPOSES	Chronic prostatitis	1
Interleukin-1 beta|IL1B	COMPLICATES	Bacterial Infections	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gout	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Syndrome	2
IL1B gene|IL1B	ASSOCIATED_WITH	Typhoid Fever	1
Interleukin-1 beta|IL1B	PREDISPOSES	Inflammatory disorder	1
Interleukin-1 beta|IL1B	CAUSES	Diabetes Mellitus	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Polycystic Ovary Syndrome	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	9
IL1B	ASSOCIATED_WITH	Inflammatory disorder	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Wegener's Granulomatosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Familial amyloid nephropathy with urticaria AND deafness	1
